recorded_at,experiment,label,frame_index,elapsed_s,face_detected,head_pitch,head_yaw,eye_pitch,eye_yaw,gaze_pitch,gaze_yaw,iris_offset_x,iris_offset_y
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,120,11.1598,1,-4.4239,12.4725,5.3436,2.1463,0.9197,14.6188,0.0358,-0.0891
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,121,11.2513,1,-4.9014,13.5737,6.4361,1.8938,1.5347,15.4675,0.0316,-0.1073
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,122,11.3437,1,-4.9622,13.6553,6.8258,1.6062,1.8636,15.2615,0.0268,-0.1138
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,123,11.4368,1,-4.9054,13.2327,6.3465,2.1825,1.4412,15.4152,0.0364,-0.1058
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,124,11.5342,1,-4.4494,14.3705,3.6694,1.6670,-0.7800,16.0375,0.0278,-0.0612
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,125,11.6252,1,-4.3351,14.7430,6.1093,2.4094,1.7742,17.1523,0.0402,-0.1018
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,126,11.7177,1,-4.4057,15.9710,5.5764,1.2634,1.1707,17.2344,0.0211,-0.0929
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,127,11.8104,1,-4.3996,16.0237,4.8749,2.2585,0.4753,18.2822,0.0376,-0.0812
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,128,11.9041,1,-3.9098,17.0392,5.2789,1.8154,1.3691,18.8546,0.0303,-0.0880
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,129,12.0015,1,-4.2724,16.3783,5.1359,1.2239,0.8635,17.6022,0.0204,-0.0856
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,130,12.0885,1,-4.3637,16.7168,6.7382,1.5833,2.3745,18.3001,0.0264,-0.1123
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,131,12.1830,1,-3.5042,16.7770,5.7786,2.5779,2.2745,19.3549,0.0430,-0.0963
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,132,12.2754,1,-3.3999,16.5630,5.1192,0.7559,1.7194,17.3189,0.0126,-0.0853
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,133,12.3689,1,-4.0273,16.3825,5.2486,1.3226,1.2213,17.7051,0.0220,-0.0875
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,134,12.4619,1,-3.9585,15.6103,3.9293,0.7041,-0.0292,16.3144,0.0117,-0.0655
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,135,12.5536,1,-3.6943,14.7719,4.9619,1.8953,1.2676,16.6672,0.0316,-0.0827
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,136,12.6531,1,-3.8159,14.9119,6.5298,0.5208,2.7139,15.4327,0.0087,-0.1088
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,137,12.7396,1,-4.6462,14.1114,6.0630,1.7715,1.4169,15.8829,0.0295,-0.1011
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,138,12.8340,1,-4.6710,14.3422,5.5224,2.4004,0.8514,16.7426,0.0400,-0.0920
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,139,12.9284,1,-4.2595,14.9952,6.2253,1.6360,1.9658,16.6311,0.0273,-0.1038
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,140,13.0203,1,-4.9648,14.3160,5.5159,1.4455,0.5511,15.7615,0.0241,-0.0919
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,141,13.1132,1,-4.5305,14.3879,5.2129,2.5999,0.6825,16.9878,0.0433,-0.0869
2026-08-01T13:12:29.442939+00:00,experiment_2_laptop,natural_reading_paper_2_laptop,142,13.2048,1,-4.9059,13.2034,5.7703,1.8146,0.8644,15.0180,0.0302,-0.0962
